"","Date","State","Income","Expenses"
"1",1999-09-05,"DE",25157.5760239758,-1008.6190539087
"2",1999-01-17,"RI",24965.9940299383,-984.499946655327
"3",1999-02-20,"TN",25076.4440528103,-1260.36825603702
"4",1999-01-02,"MA",24925.7967505902,-922.282480249077
"5",1999-05-30,"ME",24925.8842906272,-917.924001502626
"6",1999-11-26,"VT",24869.9841153894,-1059.25275131581
"7",1999-07-16,"WI",25001.7650926564,-959.904876994594
"8",1999-04-04,"AR",25032.8943108094,-894.848930063081
"9",1999-07-10,"OR",24962.3507713271,-941.669540577014
"10",1999-06-13,"HI",25094.7517415232,-996.166101490222
"11",1999-03-31,"MD",24914.1207157531,-1135.07214961887
"12",1999-06-28,"TN",25028.1690387712,-1068.94180268365
"13",1999-08-21,"SD",25059.4377409042,-1044.43508618287
"14",1999-03-29,"ID",25090.9176004974,-955.422547113067
"15",1999-01-10,"IN",24903.4583784724,-1055.07295480291
"16",1999-11-15,"IL",25033.3175510435,-1093.29375170931
"17",1999-10-22,"ME",25027.7925625321,-950.082692655511
"18",1999-04-07,"UT",24955.8586237881,-969.074322662124
"19",1999-05-07,"WA",25017.0055298698,-922.290821340234
"20",1999-05-02,"WI",24942.6149268553,-970.001501707437
"21",1999-04-19,"AR",24822.4151598752,-959.888194826661
"22",1999-07-02,"RI",25010.4677000724,-986.470400933184
"23",1999-08-18,"SD",25055.3503995311,-933.280284302381
"24",1999-01-04,"OR",24947.94010422,-1080.80085370817
"25",1999-07-07,"ID",24934.2967478651,-1056.16762598054
"26",1999-09-19,"NE",25091.3521776123,-1241.64270175131
"27",1999-09-23,"AL",24868.4856735147,-1023.36189196833
"28",1999-07-05,"NY",25094.7757020143,-1080.97691283571
"29",1999-05-21,"IL",25005.0340024911,-1080.37541901669
"30",1999-11-14,"AL",24840.7460832778,-1083.45404570041
"31",1999-09-29,"IN",24995.1970865882,-898.017332956337
"32",1999-07-30,"TN",25058.969733871,-905.745690984542
"33",1999-02-22,"FL",25055.489900622,-939.171114773278
"34",1999-12-30,"SC",25166.2721256287,-890.461820968085
"35",1999-03-24,"WV",25175.3085893619,-1000.65300288159
"36",1999-12-12,"OR",25106.3920648861,-1103.4835877924
"37",1999-09-25,"WY",24912.6354101788,-1125.55264750477
"38",1999-02-07,"VA",24840.1598078462,-789.692243377911
"39",1999-12-19,"ND",25068.2673595756,-737.24716185414
"40",1999-10-09,"FL",24932.0353448386,-856.788976335642
"41",1999-08-28,"OR",25135.2360144427,-909.011312453585
"42",1999-08-13,"MN",25097.4433165687,-1046.94859987762
"43",1999-03-29,"NJ",25072.004524909,-951.072129452162
"44",1999-04-26,"SC",24917.6153405801,-991.615730444243
"45",1999-06-12,"CT",25121.1705072968,-890.750853593938
"46",1999-06-09,"MN",25100.6102241889,-1021.9422693911
"47",1999-08-16,"KS",25004.1747217063,-950.131654514478
"48",1999-11-01,"WV",25008.1200985922,-909.528775830548
"49",1999-01-15,"WV",24871.4290520416,-1114.80244504398
"50",1999-01-30,"OH",24983.02528368,-748.936698903412
"51",1999-04-09,"GA",25096.1099587055,-917.0897549193
"52",1999-06-21,"AL",25005.0444473175,-1049.35992904916
"53",1999-07-19,"FL",24943.0750657482,-939.962883593523
"54",1999-09-17,"ND",24704.9342931273,-955.829801611337
"55",1999-03-04,"GA",24966.2012015375,-1113.04114517075
"56",1999-04-11,"AZ",24936.9227791248,-1226.13020572674
"57",1999-10-06,"TX",25082.822600797,-1098.93903456932
"58",1999-12-28,"ME",25168.4216870271,-882.215282514302
"59",1999-06-16,"UT",24961.0802372669,-1014.11132043524
"60",1999-06-16,"ID",25001.4024331168,-901.693258185513
"61",1999-05-12,"SC",24905.5294670722,-989.5800944017
"62",1999-02-03,"ID",24977.2624860217,-1060.45427464527
"63",1999-03-06,"TN",25009.7885502767,-992.921011881729
"64",1999-03-05,"FL",24925.1910748405,-943.403464494148
"65",1999-12-06,"DE",24849.5193835092,-786.961614591092
"66",1999-03-22,"UT",24768.30345279,-937.219199748537
"67",1999-04-15,"ME",25201.2418784279,-964.053175271501
"68",1999-11-26,"MA",24892.2193038414,-1088.92379064698
"69",1999-04-10,"ME",25191.7801586398,-1166.48194981265
"70",1999-10-22,"VA",25087.0005606864,-967.065932408703
"71",1999-02-06,"AZ",24989.2624058679,-945.746666363991
"72",1999-10-22,"LA",24882.4163777776,-914.966816013459
"73",1999-12-28,"HI",25244.6891472502,-1032.01418434291
"74",1999-03-11,"SC",24957.9723444512,-892.09289175513
"75",1999-05-16,"AZ",24930.9052239262,-992.322726972023
"76",1999-01-21,"NJ",24966.5923205068,-1033.90547204667
"77",1999-01-22,"KS",25128.1205384965,-979.895494601195
"78",1999-08-02,"SC",24901.0856829635,-1082.42730892668
"79",1999-07-18,"ME",24984.3424904828,-920.797437570261
"80",1999-08-25,"HI",25024.0148742054,-960.073498220853
"81",1999-11-30,"IN",24970.5501266963,-880.01060206792
"82",1999-02-03,"NY",24937.5751276735,-1148.39223933408
"83",1999-03-30,"WV",24915.9737984953,-1079.23300433508
"84",1999-05-18,"NC",24838.0891384565,-1128.02571479763
"85",1999-09-04,"NE",25049.8867539871,-1027.45311733256
"86",1999-06-02,"FL",24992.7383887654,-1022.06396480219
"87",1999-05-20,"OR",25028.5652766187,-1000.4766247242
"88",1999-02-01,"IA",25100.0703672052,-1174.20016099149
"89",1999-12-18,"IN",24849.6800933827,-817.3628835764
"90",1999-05-05,"WV",25027.0360126792,-1043.721435918
"91",1999-12-26,"CO",25105.7505685224,-1127.99259253616
"92",1999-04-19,"KS",25011.347456296,-1058.44473236225
"93",1999-03-20,"IL",25060.6043217265,-1097.80580841489
"94",1999-02-12,"NJ",25007.0101995145,-1014.92357149592
"95",1999-07-09,"NM",25124.6139447721,-1018.86597177835
"96",1999-05-15,"WY",24922.3723509405,-991.722441399235
