"","BALLOT","NATEDUC","NATDRUG","NATCRIME","NATCITY","NATHEAL","NATENVIR","NATSPAC","POLVIEWS","NATRACE","NATARMS","NATAID","NATENRGY","NATSCI","NATCHLD","NATPARK","NATMASS","NATSOC","NATROAD","NATFARE","IF12WHO","VOTE12","CHILDS","DIVORCE","AGEWED","MARITAL","EVWORK","HRS1","WRKSTAT","ID_","AGE","EDUC","DEGREE","PARTYID","INCOME","HOMPOP","RACE","SEX","SPDEG","MADEG","PADEG","YEAR"
"1",1,2,3,1,2,2,1,1,4,1,3,3,1,2,2,2,1,3,2,2,0,1,3,2,0,1,0,50,1,1,47,16,3,3,13,5,1,1,3,1,4,2016
"2",2,1,1,3,8,1,8,8,2,1,3,8,1,8,1,3,1,8,1,8,0,1,0,0,0,5,0,42,1,2,61,12,1,2,12,1,1,1,7,1,0,2016
"3",3,1,1,1,8,1,2,1,6,2,8,3,1,8,8,2,8,1,1,8,0,1,2,2,0,1,1,-1,5,3,72,16,3,5,12,2,1,1,1,0,1,2016
"4",1,1,1,2,2,3,2,2,4,2,1,3,1,1,3,1,3,1,2,3,0,1,4,2,0,1,0,30,2,4,43,12,1,5,13,6,1,2,1,1,7,2016
"5",3,0,0,0,0,0,0,0,3,0,0,0,2,2,8,3,1,2,1,0,0,1,2,2,0,1,0,5,2,5,55,18,4,1,13,3,1,2,3,1,3,2016
"6",2,1,1,1,1,1,1,2,3,1,3,3,1,1,1,1,2,1,1,1,0,1,2,2,0,1,1,-1,7,6,53,14,2,1,12,3,1,2,1,1,8,2016
"7",1,1,1,1,2,2,2,2,3,1,1,2,1,1,2,2,1,2,1,3,2,3,2,2,0,1,0,55,1,7,50,14,1,5,13,3,1,1,1,1,1,2016
"8",3,1,3,2,1,2,1,2,5,2,2,2,2,3,1,2,3,1,2,3,9,8,3,2,0,1,0,30,2,8,23,11,1,2,12,5,3,2,0,0,0,2016
"9",1,1,2,2,2,2,1,2,8,8,2,2,1,8,1,1,2,2,1,3,1,3,3,1,0,1,0,80,1,9,45,12,1,0,12,3,2,1,1,0,0,2016
"10",3,0,0,0,0,0,0,0,6,0,0,0,2,1,1,2,3,1,1,0,0,1,4,0,0,3,1,-1,5,10,71,14,2,6,12,2,1,1,7,1,1,2016
"11",2,0,0,0,0,0,0,0,8,0,0,0,3,2,2,1,3,1,1,0,8,2,5,0,0,5,1,-1,7,11,33,12,1,0,1,4,2,2,7,0,1,2016
"12",1,2,3,3,1,2,1,1,5,2,2,2,2,2,1,2,2,2,2,3,3,2,4,2,0,2,1,-1,5,12,86,12,1,6,1,1,1,2,7,8,1,2016
"13",2,1,1,1,1,1,1,8,3,1,3,3,1,3,1,1,1,1,3,1,0,1,3,2,0,1,0,39,2,13,32,12,1,2,8,4,2,1,1,1,7,2016
"14",3,2,1,2,3,1,8,8,2,1,2,3,8,8,2,2,2,8,2,2,0,1,5,1,0,1,1,-1,7,14,60,98,1,0,9,2,2,2,1,8,1,2016
